company,aspect,sentiment_mean,rating_1_to_5
Morgan Stanley,career_growth,0.17077078892957748,3.34
Morgan Stanley,compensation_benefits,0.09349580882758621,3.19
Morgan Stanley,culture_values,0.3291569935,3.66
Morgan Stanley,management,0.01342585976197184,3.03
Morgan Stanley,work_life_balance,0.015861929291666663,3.03
NVIDIA,career_growth,0.31068241409999997,3.62
NVIDIA,compensation_benefits,0.1111687799,3.22
NVIDIA,culture_values,-0.006764740016666673,2.99
NVIDIA,management,0.24448863000000004,3.49
NVIDIA,work_life_balance,0.23291274566666664,3.47
Netflix,career_growth,-0.25950625820405865,2.48
Netflix,compensation_benefits,-0.21365348124261238,2.57
Netflix,culture_values,-0.18303972721792117,2.63
Netflix,management,-0.016819364325589208,2.97
Netflix,work_life_balance,-0.21286535894509898,2.57
Oracle,career_growth,0.050860229682433256,3.1
Oracle,compensation_benefits,-0.16053426011197247,2.68
Oracle,culture_values,-0.0950254199277598,2.81
Oracle,management,-0.11209386143493456,2.78
Oracle,work_life_balance,-0.0933387057531056,2.81
Palantir,career_growth,0.08975399201874999,3.18
Palantir,compensation_benefits,-0.31681899388679247,2.37
Palantir,culture_values,0.2327272032236842,3.47
Palantir,management,0.062377335939189184,3.12
Palantir,work_life_balance,-0.29846660522368423,2.4
PwC,career_growth,0.05570109344430739,3.11
PwC,compensation_benefits,0.03873890736241995,3.08
PwC,culture_values,0.0032661882487989014,3.01
PwC,management,-0.028793217662815125,2.94
PwC,work_life_balance,0.08352170077658046,3.17
Qualcomm,career_growth,0.2818008775882353,3.56
Qualcomm,compensation_benefits,0.0257374458,3.05
Qualcomm,culture_values,0.05016685542857143,3.1
Qualcomm,management,-0.022598388235294115,2.95
Qualcomm,work_life_balance,-0.054609333914893615,2.89
SAP,career_growth,0.012382029897398842,3.02
SAP,compensation_benefits,-0.13546392389637635,2.73
SAP,culture_values,-0.13338185773686634,2.73
SAP,management,-0.009273416746097562,2.98
SAP,work_life_balance,-0.07473581828006397,2.85
Salesforce,career_growth,0.11108201097263375,3.22
Salesforce,compensation_benefits,-0.03384842233798514,2.93
Salesforce,culture_values,-0.008424134772612923,2.98
Salesforce,management,-0.06913846674614862,2.86
Salesforce,work_life_balance,-0.10363361918205115,2.79
ServiceNow,career_growth,0.05250311884615386,3.11
ServiceNow,compensation_benefits,0.037689680388888896,3.08
ServiceNow,culture_values,0.04705469750000001,3.09
ServiceNow,management,-0.054073769125,2.89
ServiceNow,work_life_balance,-0.19486865377777776,2.61
Shopify,career_growth,-0.07765336004177369,2.84
Shopify,compensation_benefits,0.25606488650000003,3.51
Shopify,culture_values,0.08442755035792349,3.17
Shopify,management,-0.024467685196129036,2.95
Shopify,work_life_balance,0.017619584235666667,3.04
Snowflake,career_growth,0.3230635677027027,3.65
Snowflake,compensation_benefits,0.20611344430681816,3.41
Snowflake,culture_values,-0.01716718685339505,2.97
Snowflake,management,-0.06329832373631508,2.87
Snowflake,work_life_balance,0.04256841165010353,3.09
Stripe,career_growth,0.2707566422596154,3.54
Stripe,compensation_benefits,0.0017406057831435805,3.0
Stripe,culture_values,0.2221154879758514,3.44
Stripe,management,0.0695447389565508,3.14
Stripe,work_life_balance,0.074691601575,3.15
TCS,career_growth,-0.1242198101005847,2.75
TCS,compensation_benefits,-0.27722389831714284,2.45
TCS,culture_values,-0.25863004999978634,2.48
TCS,management,-0.2627568613640583,2.47
TCS,work_life_balance,-0.250103272440171,2.5
Tech Mahindra,career_growth,-0.12402492,2.75
Tech Mahindra,compensation_benefits,0.091830560325,3.18
Tech Mahindra,culture_values,-0.5265239615,1.95
Tech Mahindra,management,-0.3587399896923077,2.28
Tech Mahindra,work_life_balance,-0.2703070725625,2.46
Two Sigma,career_growth,0.3018833366666666,3.6
Two Sigma,compensation_benefits,-0.3422045609090909,2.32
Two Sigma,culture_values,0.37170051235,3.74
Two Sigma,management,0.12459875979545454,3.25
Two Sigma,work_life_balance,-0.0884018115,2.82
Uber,career_growth,-0.3588470891875,2.28
Uber,compensation_benefits,-0.2211364966380032,2.56
Uber,culture_values,-0.312725976625,2.37
Uber,management,0.08222656607142853,3.16
Uber,work_life_balance,-0.2663142517198679,2.47
VMware,career_growth,0.13468751995180725,3.27
VMware,compensation_benefits,0.09678710742640693,3.19
VMware,culture_values,0.0007901220025995822,3.0
VMware,management,-0.07291912559250528,2.85
VMware,work_life_balance,-0.02081626204495407,2.96
Wipro,career_growth,0.09103589771428572,3.18
Wipro,compensation_benefits,-0.2069544455193529,2.59
Wipro,culture_values,-0.2443627351957672,2.51
Wipro,management,0.20111146608333333,3.4
Wipro,work_life_balance,-0.14163687188541665,2.72
